image_id,district,h3_cell,creator_username,creator_id,image_url,license
1298001812361680,al_karama,8a43acd9b4f7fff,inouemak,916841867669093,https://www.mapillary.com/app/?pKey=1298001812361680,CC BY-SA 4.0
769471478371604,downtown,8a43a136ab6ffff,mapfool,106609934906640,https://www.mapillary.com/app/?pKey=769471478371604,CC BY-SA 4.0
504998128412612,downtown,8a43a136bd37fff,km2bp,102747881969125,https://www.mapillary.com/app/?pKey=504998128412612,CC BY-SA 4.0
655914726213486,al_souq_al_kabeer,8a43acd9836ffff,countzero5,104723918435539,https://www.mapillary.com/app/?pKey=655914726213486,CC BY-SA 4.0
1038326684279510,al_karama,8a43acd9b79ffff,mapfool,106609934906640,https://www.mapillary.com/app/?pKey=1038326684279510,CC BY-SA 4.0
1080522663165313,downtown,8a43a1368797fff,mapfool,106609934906640,https://www.mapillary.com/app/?pKey=1080522663165313,CC BY-SA 4.0
1440275854336212,al_karama,8a43acd9b7a7fff,inouemak,916841867669093,https://www.mapillary.com/app/?pKey=1440275854336212,CC BY-SA 4.0
142692005090280,al_souq_al_kabeer,8a43acd9825ffff,countzero5,104723918435539,https://www.mapillary.com/app/?pKey=142692005090280,CC BY-SA 4.0
1018753647562571,downtown,8a43a136bd47fff,mapfool,106609934906640,https://www.mapillary.com/app/?pKey=1018753647562571,CC BY-SA 4.0
1184510529934500,al_karama,8a43acd9b4a7fff,mapfool,106609934906640,https://www.mapillary.com/app/?pKey=1184510529934500,CC BY-SA 4.0
468795182240752,city_walk,8a43a13688b7fff,mapfool,106609934906640,https://www.mapillary.com/app/?pKey=468795182240752,CC BY-SA 4.0
1033669734970066,al_karama,8a43accb4b67fff,mapfool,106609934906640,https://www.mapillary.com/app/?pKey=1033669734970066,CC BY-SA 4.0
1203970084519553,al_souq_al_kabeer,8a43acd99727fff,mapfool,106609934906640,https://www.mapillary.com/app/?pKey=1203970084519553,CC BY-SA 4.0
1429528695624642,al_karama,8a43acd9b447fff,inouemak,916841867669093,https://www.mapillary.com/app/?pKey=1429528695624642,CC BY-SA 4.0
965631108566413,city_walk,8a43a1368ccffff,countzero5,104723918435539,https://www.mapillary.com/app/?pKey=965631108566413,CC BY-SA 4.0
1392746468315347,downtown,8a43a136b1b7fff,mapfool,106609934906640,https://www.mapillary.com/app/?pKey=1392746468315347,CC BY-SA 4.0
352542880641934,downtown,8a43a136a317fff,mapfool,106609934906640,https://www.mapillary.com/app/?pKey=352542880641934,CC BY-SA 4.0
901779247903124,downtown,8a43a136869ffff,km2bp,102747881969125,https://www.mapillary.com/app/?pKey=901779247903124,CC BY-SA 4.0
1208623158047619,al_karama,8a43acd9b097fff,inouemak,916841867669093,https://www.mapillary.com/app/?pKey=1208623158047619,CC BY-SA 4.0
366492106283038,al_souq_al_kabeer,8a43acd9950ffff,filipb,105705978529028,https://www.mapillary.com/app/?pKey=366492106283038,CC BY-SA 4.0
